iso3,variable,source_url,pdf_mirror,png_screenshot,pdf_bytes,png_bytes,captured,snapshot_status,archived_html,note
FRA,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.pdf,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.png,904196,567620,2026-08-17,live_render_verified,irregular_stock__dccd321871__www.pewresearch.org.html,
GBR,foreign_born,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/ukpopulationbycountryofbirthandnationality/yearendingjune2020,SNAPSHOT__foreign_born__www.ons.gov.uk_peoplepopulationandcommunity_po.pdf,SNAPSHOT__foreign_born__www.ons.gov.uk_peoplepopulationandcommunity_po.png,414477,447017,2026-08-17,live_render_verified,foreign_born__e1040217f2__www.ons.gov.uk.html,
GBR,foreign_born,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/ukpopulationbycountryofbirthandnationality/yearendingjune2021,SNAPSHOT__foreign_born__www.ons.gov.uk_peoplepopulationandcommunity_po.pdf,SNAPSHOT__foreign_born__www.ons.gov.uk_peoplepopulationandcommunity_po.png,414477,447017,2026-08-17,live_render_verified,foreign_born__f269f649a7__www.ons.gov.uk.html,
GBR,irregular_stock,https://www.pewresearch.org/global/2019/11/13/eu-unauthorized-immigrants-appendix-e-updated-unauthorized-immigrant-population-estimates-for-europe-and-the-united-kingdom-2014-2017/,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_eu-unaut.pdf,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_eu-unaut.png,559771,524808,2026-08-17,live_render_verified,irregular_stock__dc9847ae35__www.pewresearch.org.html,
HRV,foreign_born,https://web.dzs.hr/eng/censuses/census2011/results/htm/e01_01_25/E01_01_25.html,SNAPSHOT__foreign_born__web.dzs.hr_eng_censuses_census2011_results_htm.pdf,SNAPSHOT__foreign_born__web.dzs.hr_eng_censuses_census2011_results_htm.png,506529,326749,2026-08-17,live_render_verified,foreign_born__a2e888f94b__web.dzs.hr.html,
HRV,foreign_nationals,https://web.dzs.hr/eng/censuses/census2011/results/htm/e01_01_06/e01_01_06_RH.html,SNAPSHOT__foreign_nationals__web.dzs.hr_eng_censuses_census2011_results_htm.pdf,SNAPSHOT__foreign_nationals__web.dzs.hr_eng_censuses_census2011_results_htm.png,177798,136686,2026-08-17,live_render_verified,foreign_nationals__f43cbc3a6d__web.dzs.hr.html,
ITA,irregular_stock,https://www.neodemos.info/2018/07/27/irregolari-sanatorie-e-rimpatri/,SNAPSHOT__irregular_stock__www.neodemos.info_2018_07_27_irregolari-sanato.pdf,SNAPSHOT__irregular_stock__www.neodemos.info_2018_07_27_irregolari-sanato.png,3547094,1148122,2026-08-17,live_render_verified,irregular_stock__eeb1002910__www.neodemos.info.html,
ITA,irregular_stock,https://www.vita.it/rapporto-ismu-calano-gli-sbarcati-ma-sale-la-quota-degli-irregolari/,SNAPSHOT__irregular_stock__www.vita.it_rapporto-ismu-calano-gli-sbarcati-.pdf,SNAPSHOT__irregular_stock__www.vita.it_rapporto-ismu-calano-gli-sbarcati-.png,2262035,1070947,2026-08-17,live_render_verified,irregular_stock__77693a7efa__www.vita.it.html,
ITA,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.pdf,SNAPSHOT__irregular_stock__www.pewresearch.org_global_2019_11_13_europes-.png,904196,567620,2026-08-17,live_render_verified,irregular_stock__dccd321871__www.pewresearch.org.html,
JPN,irregular_proxy_overstayers,https://www.globaldetentionproject.org/countries/asia-pacific/japan,SNAPSHOT__irregular_proxy_overstayer__www.globaldetentionproject.org_countries_asia-.pdf,SNAPSHOT__irregular_proxy_overstayer__www.globaldetentionproject.org_countries_asia-.png,6081685,1651652,2026-08-17,live_render_verified,irregular_proxy_overstayers__d9d919a65a__www.globaldetentionproject.o.html,
JPN,irregular_proxy_overstayers,https://www.moj.go.jp/isa/publications/press/13_00003.html,SNAPSHOT__irregular_proxy_overstayer__www.moj.go.jp_isa_publications_press_13_00003.__from_archived_html.pdf,SNAPSHOT__irregular_proxy_overstayer__www.moj.go.jp_isa_publications_press_13_00003.__from_archived_html.png,258401,377751,2026-08-17,rendered_from_archived_html,irregular_proxy_overstayers__9ff4b8949e__www.moj.go.jp.html,
JPN,irregular_proxy_overstayers,https://www.moj.go.jp/isa/publications/press/13_00013.html,SNAPSHOT__irregular_proxy_overstayer__www.moj.go.jp_isa_publications_press_13_00013.__from_archived_html.pdf,SNAPSHOT__irregular_proxy_overstayer__www.moj.go.jp_isa_publications_press_13_00013.__from_archived_html.png,233291,377751,2026-08-17,rendered_from_archived_html,irregular_proxy_overstayers__b84a36a0c9__www.moj.go.jp.html,
KOR,irregular_proxy_overstayers,https://www.ekw.co.kr/news/articleView.html?idxno=11130,SNAPSHOT__irregular_proxy_overstayer__www.ekw.co.kr_news_articleView.html_idxno_1113.pdf,SNAPSHOT__irregular_proxy_overstayer__www.ekw.co.kr_news_articleView.html_idxno_1113.png,8839295,1782049,2026-08-17,live_render_verified,irregular_proxy_overstayers__f55526aebb__www.ekw.co.kr.html,
