workbook,source_key,variable,source_name,source_url,landing_url,citation,n_obs,n_countries,iso3_list,year_min,year_max,url_id,host
FILE1,S4,irregular,"Pew Research Center, Immigrants in America: Key Charts and Facts (2020)",https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,"Pew Research Center (2020). Immigrants in America: Key Charts and Facts. Unauthorized immigrant population estimates for 2010–2017, based on augmented U.S. Census Bureau data.",8,1,USA,2010,2017,4dd896a9,www.pewresearch.org
FILE1,S11,irregular,Taiwan Legislative Yuan report citing National Immigration Agency data (2019),https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=33342&pid=184411,https://www.ly.gov.tw/,"Taiwan Legislative Yuan (2019). Population aging, immigration policy and budget execution: Table 11, overdue-stay/overdue-residence foreign population, 2012–2018 year-end data, based on National Immigration Agency data.",7,1,TWN,2012,2018,539a03cf,www.ly.gov.tw
FILE1,S8,irregular,"Japan Immigration Services Agency, Immigration Control in Recent Years (historical report)",https://www.moj.go.jp/isa/content/930003133.pdf,https://www.moj.go.jp/isa/policies/statistics/,"Japan Immigration Services Agency (2015). Immigration Control in Recent Years, Table 21: changes in the estimated number of foreign nationals overstaying the authorized period of stay, 1 January 2010–2015.",6,1,JPN,2010,2015,ccfa80d7,www.moj.go.jp
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=IS&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",4,1,ISL,2016,2021,0fdb8425,ec.europa.eu
FILE1,S12,irregular,Taiwan Legislative Yuan report citing National Immigration Agency data (2021),https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=45128&pid=211927,https://www.ly.gov.tw/,"Taiwan Legislative Yuan (2021). Foreign population overstaying and missing-person management: Table 1, 2017–2020 year-end data and April 2021 snapshot, based on National Immigration Agency data.",3,1,TWN,2019,2021,40806cb9,www.ly.gov.tw
FILE1,S10,irregular,"Korea Ministry of Justice, annual illegal-stay foreigner statistics",https://www.moj.go.kr/moj/2415/subview.do,https://www.moj.go.kr/moj/2415/subview.do,"Republic of Korea Ministry of Justice (2026). Annual status of illegal-stay foreigners (registered + short-term + residence), 2021–2025 table; 2021 and 2022 totals summed from the official components.",2,1,KOR,2021,2022,be27eb2d,www.moj.go.kr
FILE1,S5,irregular,"Pew Research Center, What we know about unauthorized immigrants living in the U.S. (2024)",https://www.pewresearch.org/short-reads/2024/07/22/what-we-know-about-unauthorized-immigrants-living-in-the-us/,https://www.pewresearch.org/short-reads/2024/07/22/what-we-know-about-unauthorized-immigrants-living-in-the-us/,"Pew Research Center (2024). What we know about unauthorized immigrants living in the U.S. Estimates for 2021 and 2022, based on a residual method using Census/ACS and administrative data.",2,1,USA,2021,2022,4b5c514e,www.pewresearch.org
FILE1,S7,irregular,"Australian Department of Immigration and Border Protection, Annual Report 2015–16",https://www.homeaffairs.gov.au/reports-and-pubs/Annualreports/dibp-annual-report-2015-16.pdf,https://www.homeaffairs.gov.au/reports-and-pubs/Pages/Annual-reports.aspx,"Australian Department of Immigration and Border Protection (2016). Annual Report 2015–16, p. 51: number of unlawful non-citizens in the community at 30 June 2015 and 30 June 2016.",2,1,AUS,2015,2016,9fcb57f0,www.homeaffairs.gov.au
FILE1,S9,irregular,"Japan Immigration Services Agency, Immigration Control and Residency Management 2022",https://www.moj.go.jp/isa/content/001385114.pdf,https://www.moj.go.jp/isa/publications/,"Japan Immigration Services Agency (2023). Immigration Control and Residency Management 2022, number of foreign nationals overstaying their authorized period of stay as of 1 January 2022 (66,759); the report gives the prior-year comparison.",2,1,JPN,2021,2022,cccd1ea0,www.moj.go.jp
FILE1,S6,irregular,"Australian Department of Immigration and Citizenship, Trends in Migration: Australia 2010–11, Table 11",https://www.homeaffairs.gov.au/research-and-stats/files/trends-in-migration-2010-11.pdf,https://www.homeaffairs.gov.au/research-and-stats/,"Australian Department of Immigration and Citizenship (2012). Trends in Migration: Australia 2010–11, Table 11: Estimate of unlawful non-citizens in Australia at 30 June 2011.",1,1,AUS,2011,2011,4ff1da10,www.homeaffairs.gov.au
FILE1,S1,population,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,https://population.un.org/wpp/,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024, Online Edition. Population variable: Total Population, as of 1 July (thousands), converted to persons.",520,40,AUS;AUT;BEL;BGR;CHE;CHL;CHN;CZE;DEU;DNK;ESP;FIN;FRA;GBR;HRV;HUN;IND;ISL;ISR;ITA;JPN;KOR;LTU;MEX;NLD;NOR;NZL;PHL;POL;PRT;RUS;SUR;SVK;SVN;SWE;THA;TUR;TWN;USA;ZAF,2010,2022,5112b246,population.un.org
FILE2,,foreign_born,UN DESA International Migrant Stock (World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/CHN;IND;PHL;RUS;ZAF;SUR;THA/indicator/SM.POP.TOTL?format=json&date=2010:2022&per_page=200,,,21,7,CHN;IND;PHL;RUS;SUR;THA;ZAF,2010,2020,fbceea7b,api.worldbank.org
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=AT&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,AUT,2010,2022,0286c815,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,BEL,2010,2022,969c90d3,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=CZ&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,CZE,2010,2022,b2aa6b17,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=DE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,DEU,2010,2022,e39f9885,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=DK&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,DNK,2010,2022,3e3239ec,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=ES&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,ESP,2010,2022,85b8229a,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=FI&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,FIN,2010,2022,c64c796b,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=FR&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,FRA,2010,2022,99e4ad42,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=HU&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,HUN,2010,2022,1272ada0,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=IS&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,ISL,2010,2022,5a40158d,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=IT&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,ITA,2010,2022,b3940aae,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=LT&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,LTU,2010,2022,2cb54ebf,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=NL&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,NLD,2010,2022,c08ea069,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=NO&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,NOR,2010,2022,9984717f,ec.europa.eu
FILE2,,foreign_born,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=PL&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,,,13,1,POL,2010,2022,09ed40d3,ec.europa.eu
